Field=#~Integer~#~50|Field=Comment~String~Comment~222|Field=Description~String~Description~163|Field=Designator~String~Designator~121|Field=Footprint~String~Footprint~23|Field=Manufacturer~String~Manufacturer~39|Field=Package / Case~String~Package / Case~20|Field=Packaging~String~Packaging~20|Field=PartNumber~String~PartNumber~20|Field=Quantity~Integer~Quantity~20|Field=Description 1~String~Description 1~29|Field=DocumentName~String~DocumentName~100|Field=PackageDescription~String~PackageDescription~100|Field=ComponentLink1URL~String~ComponentLink1URL~100|Field=ComponentLink2URL~String~ComponentLink2URL~100|Field=ComponentLink4Description~String~ComponentLink4Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LM-003.PrjPcb|ReportField=ProjectFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM-003\LM-003.PrjPcb|ReportField=Title~Bill of Materials For Project [LM-003.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~177|ReportField=ReportTime~10:09:20 AM|ReportField=ReportDate~7/7/2017|ReportField=ReportDateTime~7/7/2017 10:09:20 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~7/7/2017|ReportField=CurrentTime~10:08:36 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\zls\Desktop\Land_Meter_PCB\LM-003\ADC.SchDoc|ReportField=DocumentName~ADC.SchDoc|ReportField=DocumentNumber~LM-003|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~7/7/2017|ReportField=Organization~|ReportField=ProjectName~LM-003.PrjPcb|ReportField=Revision~3.0|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~ADC|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LM-003.PrjPcb|ReportField=DataSourceFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM-003\LM-003.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Battery Holder - BK-916-TR|CR1220, 1225 BATTERY RETAINER W/|BT1|BK-916-TR|||||1|CR1220, 1225 BATTERY RETAINER W/|Real Time Clock.SchDoc||http://www.memoryprotectiondevices.com/datasheets/BK-916-datasheet.pdf||
2|CAP CER 22PF 50V X7R 0603|CAP CER 22PF 50V X7R 0603|C1|CAPC0603(1608)100_N|AVX Corporation|0603 (1608 Metric)|Digi-Reel®||1||Power.SchDoc||http://datasheets.avx.com/X7RDielectric.pdf||
3|CAP CER 1UF 50V X7R 1210|CAP CER 1UF 50V X7R 1210|C2, C5|CAPC1206(3216)130_N|Murata Electronics North America|1210 (3225 Metric)|Digi-Reel®||2||Power.SchDoc||http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32RR71H105KA01-01.pdf||
4|CAP CER 1UF 50V X7R 1210|CAP CER 1UF 50V X7R 1210|C3|CAPC1210(3225)100_N|Taiyo Yuden|1210 (3225 Metric)|Cut Tape (CT)||1||Power.SchDoc||http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf||
5|CAP CER 0.47UF 50V X7R 1206|CAP CER 0.47UF 50V X7R 1206|C4|CAPC1206(3216)190_N|Taiyo Yuden|1206 (3216 Metric)|Cut Tape (CT)||1||Power.SchDoc||http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf||
6|CAP CER 1UF 16V X7R 0805|CAP CER 1UF 16V X7R 0805|C6, C41|CAPC0805(2012)145_N|Taiyo Yuden, Kemet|0805 (2012 Metric)|Cut Tape (CT), Tape and Reel||2||Power.SchDoc, ADC.SchDoc||http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=EMK212B7105KG-T&fileName=EMK212B7105KG-T_SS&mode=specSheetDownload, https://datasheet.ciiva.com/7842/1698763-7842475.pdf||
7|CAP CER 4.7UF 16V X7R 1206|CAP CER 4.7UF 16V X7R 1206|C7|CAPC1206(3216)130_N|Taiyo Yuden|1206 (3216 Metric)|Digi-Reel®||1||Power.SchDoc||http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=EMK316B7475KL-T&fileName=EMK316B7475KL-T_SS&mode=specSheetDownload||
8|CAP CER 0.047UF 16V X7R 0603|CAP CER 0.047UF 16V X7R 0603|C8|CAPC0805(2012)145_N|Murata Electronics North America|0603 (1608 Metric)|Digi-Reel®||1||Power.SchDoc||http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx||
9|Aluminum Electrolytic Capacitors - Leaded 16V 470uF 20%|Aluminum Electrolytic Capacitors - Leaded 16V 470uF 20%|C9|RAD-0.1|||||1|Aluminum Electrolytic Capacitors - Leaded 16V 470uF 20%|Power.SchDoc||http://www.mouser.com/catalog/specsheets/ea.pdf||
10|CAP CER 10000PF 50V X7R 0805|CAP CER 10000PF 50V X7R 0805|C10|CAPC0805(2012)145_N|Kemet||Cut Tape||1||Power.SchDoc||https://datasheet.ciiva.com/146/docfinderpartnumber-c0805f103k5ractu-146278.pdf|https://datasheet.ciiva.com/7842/48829-7842407.pdf|
